name,gdp,gdp_per_capita,gdp_growth,fertility,infant_mortality,sex_ratio,population,pop_growth,pop_density,urban_population,urban_population_growth,imports,exports,unemployment,employment_industry,employment_agriculture,employment_services,tourists,surface_area,forested_area,internet_users,homicide_rate,refugees,threatened_species,co2_emissions,life_expectancy_avg,primary_school_enrollment_avg,secondary_school_enrollment_avg,post_secondary_enrollment_avg,region_Central America,region_Central Asia,region_Eastern Africa,region_Eastern Asia,region_Eastern Europe,region_Middle Africa,region_Northern Africa,region_Northern America,region_Northern Europe,region_Oceania,region_South America,region_South-Eastern Asia,region_Southern Africa,region_Southern Asia,region_Southern Europe,region_Western Africa,region_Western Asia,region_Western Europe
Afghanistan,-0.23315286395427107,-0.5958686811490873,-1.578889361870298,1.4859039820741,1.4861763114381263,0.14577428341404658,-0.027864592843126576,1.1007649697610031,-0.14334259478379688,-1.5099915799004286,1.050204936198127,-0.33574412299709094,-0.37151347296485304,0.7799306764763932,-0.19331746811950234,0.8767410466388463,-0.9830343185814128,-0.4408503697242805,-0.042351576416281,-1.257619503828574,-1.4452999922945768,-0.00496931003226179,2.0011526947621423,-0.5832023615354791,-0.06221710044228397,-1.0508488336216306,0.08538172975842209,-0.9663032373161577,-1.0874163529459042,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Albania,-0.2359863852432835,-0.4188383660327576,0.25426086793706404,-0.8360236721490679,-0.6817149633334273,0.06819625885494439,-0.26329102947233834,-1.2204675491641028,-0.12131849013995047,0.06432315185616584,-0.16403670759172154,-0.3442773378063083,-0.3654431529396267,1.0906444694139914,0.03814625625100562,0.5859081780842945,-0.7379126667049988,-0.16483910348651426,-0.3570372388418037,-0.10515931004709927,0.569624478961654,-0.4422685928713009,-0.38626237440456324,-0.33664987665739315,-0.22014825838398178,0.7794795685574748,0.35758945594928204,0.3979783473961207,0.5240208676328378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Algeria,-0.15355299174673082,-0.46086501953465636,-0.5991021700767079,0.24754256648841055,-0.02688281626284365,-0.004818352494799113,0.004285319709594909,0.6543741007369442,-0.16332922719186901,0.597989162621113,0.4430841143032026,-0.20830045584237072,-0.2504932343168659,0.838189512652193,1.3172878909301295,-0.6328200330014471,0.16846739488453094,-0.3494429243305693,0.8293658671314736,-1.3150217357027472,-0.2183734274644534,-0.5317161734520134,-0.3057259247448523,-0.30522652074155865,-0.06265389147570628,0.5458206235984387,0.5617452505924264,0.5398096012523478,0.39369698312701623,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Andorra,-0.2421266336681077,0.9766617600489582,-0.5358900931867988,-1.1456140260454906,-0.9049531952893081,0.004308473923918907,-0.2815831085014208,-1.3097457229689144,-0.09259983386427406,1.2561772425645477,-2.095784777257389,-0.35942362079423673,-0.3748120891973482,1.0712248573553913,0.6959905255145553,-0.8128594278209316,0.5789036491892234,-0.3229529984919703,-0.37129630371659267,0.15094295523767295,1.2539384503316946,-0.670856854355344,-0.3767029008630219,-0.6436318921428531,-0.2014910413849428,1.1169869334983018,-0.12255472774848514,0.5600712089460942,0.7679378676876528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Angola,-0.18879929551683872,-0.4865334489658946,-1.4208591696455255,2.2598798668151563,1.9723395721420445,-0.19648170728787429,-0.06745280529378626,1.8149903601994972,-0.159448327695156,0.28668398967489384,1.4365545501312607,-0.290790509643903,-0.19184354898395678,-0.07453225410200053,-1.4359121989506514,1.2368198362778156,-0.8519227373451912,-0.5172583246431486,0.25706660070483545,0.6984719361913238,-1.4176509429462922,-0.19380309125821052,-0.3305974753750571,-0.2665516211528393,-0.2030510093614511,-1.5311477760374244,0.8377336396470492,-1.111511425788009,-1.094460887243516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Antigua And Barbuda,-0.2429717554164529,0.01704748786954433,1.2972601366205634,-0.5264333182526456,-0.8206187521059753,-0.40639871491838614,-0.2814459668878504,-0.32768581111598516,-0.06426926753826895,-1.5678053977332977,-1.1023143414293317,-0.36278561038194623,-0.37512607126761854,0.721671840300594,-0.5222396027512772,-0.9513512699897658,1.4225781719266473,-0.5137492695320615,-0.3713094131821777,-0.3656771316298847,0.7147819880401476,0.4323299728067772,-0.389730855955034,-0.532441555825285,-0.2030510093614511,0.5717827285938892,0.19502095280751777,0.9298455493569713,-0.5502706127529903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0.02550581516542087,-0.17390834808525607,-1.831737669429934,-0.2942405528303289,-0.5725762721549967,-0.3151304507312072,0.013068913531128608,-0.23840763731117343,-0.16425094082233835,1.43406591281953,-0.49519351953440754,-0.19448857078358475,-0.14026387371610027,0.6245737800075946,0.1356046665122723,-1.0759939279417166,1.268664576562388,-0.054613489997071045,1.03037380715688,-0.9132061125835357,0.656027758175043,-0.14410999093559243,-0.24980723438238486,0.009007038416786205,0.0033639532901239464,0.5198585186029919,0.554183924864903,0.8471106512741726,1.7568143697149357,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Armenia,-0.23735042317269625,-0.45717428285529027,0.6019272908315639,-0.6812284952008568,-0.5428111745608792,-0.6117523093395386,-0.2627359324650295,-0.8633548539448558,-0.12175509133333068,0.15326748698365705,-1.0471215394388842,-0.3472407409995986,-0.36583292378547955,1.828589727640786,-0.290775878380769,0.2535277568790921,-0.17356281703604634,-0.4185919515196395,-0.3565355496780691,-0.833726099219296,0.32423916599562946,-0.5019003132584425,-0.3738265990894608,-0.3922450448161772,-0.21902508144089583,0.29918062614167923,-0.7350221116779216,-0.014007675710062457,0.508170665463211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Australia,0.5113838132693754,1.5958680963034702,-0.4094659394069808,-0.6812284952008568,-0.9247965936853864,-0.13715733556620813,-0.115556858891866,0.029426884103261924,-0.17065442499191483,1.171680124193431,-0.2744223115726168,0.40289192135998236,0.5860921424771972,-0.3658264349809984,-0.010582948879627498,-0.9652004542066492,1.2002585341782726,0.10391323502145405,3.506882950823991,-0.6350260658086969,1.0776757607363812,-0.5814092737746315,-0.28060058278168615,2.4817834308705304,0.254456398788896,1.4025700884482333,-0.1603613563861057,2.2434731148348828,2.5757414818123294,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Austria,-0.007201487310334546,1.3244663263620762,-0.2830417856271627,-0.9134212606231736,-0.9198357440863668,-0.22842559975338703,-0.22327180052188594,-0.5062421587256087,-0.11923250666046721,-0.055751700565947394,-0.7711575294866458,0.24732191863385733,0.24379755104283868,-0.46292449527399776,0.6228967178186052,-0.9190365068170379,0.8468273151936758,1.5880371320047812,-0.32924365917090587,0.7205497176813903,1.1122370724217367,-0.5714706537101079,-0.2514145794911396,-0.23271108401270985,-0.14452101088286057,1.1624206172403355,0.05135576398456326,0.5651366108695312,1.5807010122746359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Azerbaijan,-0.21942677778339048,-0.4380157975874514,-0.5991021700767079,-0.4490357297785399,-0.04672621465892187,-0.10977685631005471,-0.2158726839421107,-0.23840763731117343,-0.11273200000347289,-0.1669321194753114,-0.21922950958216925,-0.31744727450892757,-0.304393489713272,-0.2298891505707994,-0.5953334104472271,0.5582098096505276,-0.4072834618484409,-0.3510942443828456,-0.32786766949469304,-0.7409994169610163,0.8461149724444987,-0.45220721293582444,0.13900108771428707,-0.4333371256291916,-0.18707693728200633,0.052540628684921584,-0.20194864788748693,0.36420900123987615,-0.44460259828881044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bahamas,-0.23735509809324642,0.6040451364704509,-0.5358900931867988,-0.6812284952008568,-0.7858928049128383,-0.35163775640607864,-0.27951945374483744,-0.23840763731117343,-0.1531903772567062,1.038263621502194,-0.32961511356306455,-0.35058886671271966,-0.37347676315137096,0.7993502885349935,-0.7171564232738104,-0.9836660331624937,1.5536897531628693,-0.4198992465610249,-0.36450358370269037,0.9192497510919895,1.0258337932083479,2.509501566292213,-0.3899000501770082,-0.4478402129749613,-0.2030510093614511,0.16937010116443962,-1.589451918888122,-0.4800246526662371,0.04323140182081975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,-0.2241344227773996,0.29769883505357997,-0.2514357471822082,-0.5264333182526456,-0.7809319553138188,3.6915463470859464,-0.2709709598322816,2.707772098247615,0.9138629393645411,1.318438277153792,0.0015416983796214566,-0.3000099862452507,-0.32345256227761227,-1.2397089776179921,1.853309147367096,-1.0344463752910664,0.41928955029295417,0.2964984361181779,-0.3711435280215057,-1.3150217357027472,1.4958676321291837,-0.621163754032726,-0.3896462588440469,-0.5662820929654144,-0.18832491166321294,0.6237069385847847,-0.22841328793382015,0.5094171897117274,0.42187512031746405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bangladesh,-0.10375417973959776,-0.5534706804248292,1.455290328845336,-0.4490357297785399,0.25092476128225255,-0.00025493928543977905,0.7934242864058694,-0.14912946350636158,0.44150895937085655,-0.9941144361609796,0.7742409262458886,-0.13579239174455326,-0.25188269520254486,-0.5794421676255969,0.2086984742082224,0.6597704939076728,-0.9146282761972971,-0.4616638828831797,-0.29712597269780894,-0.8646349933053892,-1.3934580247665436,-0.4323299728067772,0.3814564078032909,-0.28105470849860903,-0.12779815417469187,-0.012364633803699135,1.0721347372002896,-0.3652088757350056,-0.7017281001516479,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barbados,-0.24116619721285856,0.05565623122279004,-1.1680108620858891,-0.8360236721490679,-0.5824979713530358,-0.3835816488715914,-0.28021169236571664,-1.0419112015544791,0.15194534567235565,-1.2698418750562022,-1.2126999454102272,-0.35914634330246686,-0.3735922508094014,0.721671840300594,-0.12022366042355266,-0.960584059467688,1.2458625624343493,-0.48547041363682975,-0.37131495949454063,-0.7012594102788966,0.9152375958152099,0.30312791196797034,-0.3899000501770082,-0.53002437460099,-0.2030510093614511,0.8573658835438189,-0.23219395079758295,0.6799523878007622,0.8815309832366459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,-0.21281799843231713,-0.3776150350935133,-0.09340555495743558,-0.7586260836749624,-0.9297574432844059,-0.6893303338986408,-0.2203787655308529,-1.131189375359291,-0.14964905646595555,0.8559277344908374,-0.7711575294866458,-0.22848279127456914,-0.2570146780062737,-0.5017637193911975,1.2563763845168379,-0.5820396908728744,0.13426437369247313,0.25913731993542655,-0.26685823350284493,0.5262652405688046,0.8219220542647497,-0.4323299728067772,-0.3826246986321183,-0.6073741737784287,-0.1579991341998921,0.24725641615078375,-0.1452387049310577,0.6326753031820201,1.6634742902715771,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0.038258478990635204,1.1752718958932038,-0.5674961316317534,-0.7586260836749624,-0.9396791424824451,-0.17822805445043888,-0.20639685149969778,-0.6847985063352322,0.013397233639700542,1.7008989182020038,-0.7711575294866458,1.1134432217694166,1.2315129643270193,-0.2881479867465989,0.08687546138163917,-1.0390627700300277,1.24016205890234,0.09517499974482528,-0.3561397446594443,-0.3524304627358447,1.1537106464441635,-0.5019003132584425,-0.31926146250278686,-0.5203556497038101,-0.11269766416209176,1.1624206172403355,0.11562703266851705,2.5355779590863983,1.3904985862391126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Belize,-0.24283670215611503,-0.4316877377778607,-0.3778599009620262,-0.2942405528303289,-0.4435941825804877,-0.15084757519428482,-0.27948680097970163,0.5650959269321324,-0.16381433962895814,-0.616101011869142,0.11192730236051662,-0.3613368354874487,-0.3743754014904205,-0.15221070233639986,-0.5100573014686189,-0.31428879601312815,0.6302081809773104,-0.49861216905286204,-0.35995258230382743,1.294572036423121,-0.28403991966662895,3.085941530034582,-0.38440123796284725,-0.3342326954330982,-0.213783589039828,0.2732185211462324,0.6978491136878575,0.05859641852586343,-0.5555540134761991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,-0.2384002025540151,-0.5824319745114772,1.0128057906159726,1.7180967474964175,1.9524961737459663,-0.10977685631005471,-0.20291606673622012,1.2793213173706268,-0.12010570904722764,-0.5271566767416508,1.050204936198127,-0.35100478295037446,-0.3691026681034671,-1.0066736329147938,-0.09585905785823567,0.6736196781245561,-0.783516694961076,-0.5119603394754288,-0.3136675972150367,0.33639631975423223,-1.2206514663397656,-0.5615320336455842,-0.3885464964012147,-0.42366840073201173,-0.2170283224309652,-1.440280408553355,1.4728850007590573,-0.8362912546146164,-0.9923151399281424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
